conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.94E+18,2025-05-29 09:06:06+00:00,0,YA ALLAH CAPEKBGTT BELAJAR TKA,1.94E+18,,,in,,0,0,0,https://x.com/heeseungunair/status/1939346052802597346,1.65E+18,heeseungunair
1.96E+18,2025-05-29 14:24:07+00:00,2,"hiii tmntmn ada yang punya server discord buat discuss, belajar utbk tka gitu nggak yaaa? kalau ada yang punya bagiii yaaa, terima kasiiih",1.96E+18,,,in,,0,0,2,https://x.com/parfaither/status/1956007065383789036,1.83E+18,parfaither
1.93E+18,2025-05-29 18:02:02+00:00,0,"pusing bgt, kalian bljr TKA nya langsung latsol, apa dari materi kelas 10-11? AKU BINGGUNG BGT",1.93E+18,,,in,,0,1,0,https://x.com/hachiphuw/status/1928846125764620721,1.36E+18,hachiphuw
1.94E+18,2025-05-30 03:15:56+00:00,0,Sekolah macam apa yg sampe hari ini belum share pembagian jadwal tka? Gajelas bgt sekolah gue ☝🏻☝🏻☝🏻,1.94E+18,,,in,,0,3,0,https://x.com/yunjinrawr/status/1939667959368307116,1.51E+18,yunjinrawr
1.94E+18,2025-05-30 04:02:58+00:00,0,"bentar ya cowo kpopku, tungguin aku kelar tka aku bakal hype kalian lagi 😭",1.94E+18,,,in,,0,2,0,https://x.com/ambisiuss01/status/1939665333503312182,1.68E+18,ambisiuss01
1.94E+18,2025-05-30 05:08:38+00:00,0,"Ya Allah h-2 tka malah flu, gegara seminggu kemarin belajar jadi sakit, kehujanan+pulang malem😩 kira² di lab nanti boleh bawa tisu gak ya :((",1.94E+18,,,in,,0,0,0,https://x.com/tapirpenyu/status/1939809594194452811,1.80E+18,tapirpenyu
2.00E+18,2025-05-30 09:07:09+00:00,10,"paling keinget di beberapa sesi keluar soal yang solvingnya harus pake modulo, while 80% sekolahan ga ngajarin materi modulo. aku sendiri dapet materi mod dari olim infor, why do why tiba tiba keluar di tka mtk. emang ga sesusah itu tapi kalo ga tau basicnya ya ga bisa ngerjain",2.00E+18,,,in,,0,0,0,https://x.com/akuulinnnn/status/2003992283910480313,1.78E+18,akuulinnnn
2.00E+18,2025-05-30 11:53:59+00:00,3,"@arsorionn @maroshiv Yash, karena di TKA soal soalnya tergolong sulit dipahami, tidak familiar bahkan guru² di sekolah tertentu tidak mengajarkan, kualitas guru Indonesia juga harus dibetulkan bukan hanya siswanya saja yang disalahkan, mereka kadang ngajar materi SMA kaya TK",2.00E+18,,arsorionn,in,,0,1,0,https://x.com/screttnna/status/2003984609764393334,1.73E+18,screttnna
1.98E+18,2025-05-30 12:09:20+00:00,1,"agak kecewa sama hasil tka😣
kita balas di snbt🤓",1.98E+18,,,in,,0,0,0,https://x.com/280blossom/status/1984299223173505312,1.74E+18,280blossom
1.94E+18,2025-05-30 12:11:47+00:00,0,udah h-3 tka masih belum ngerti kimia banget,1.94E+18,,,in,,0,2,0,https://x.com/mileabatagor/status/1939699104516649266,1.79E+18,mileabatagor
