full_text,normalized
YA ALLAH CAPEKBGTT BELAJAR TKA,ya allah capek banget belajar tka
"hiii tmntmn ada yang punya server discord buat discuss, belajar utbk tka gitu nggak yaaa? kalau ada yang punya bagiii yaaa, terima kasiiih",hi teman teman ada yang punya server discord buat diskusi belajar utbk tka begitu tidak ya kalau ada yang punya bagi ya terima kasih
"Ini kalo file s word gue ilang, gue ngamuk sih (laptop dipake adek buat belajar tka)",ini kalau file si word gue hilang gue ngamuk sih laptop dipakai adek buat belajar tka
"kalian bljr TKA nya langsung latsol, apa dari materi kelas 10-11? AKU BINGGUNG BGT",kalian belajar tka nya langsung latihan soal apa dari materi kelas aku binggung banget
Sekolah macam apa yg sampe hari ini belum share pembagian jadwal tka? Sekolah gue ☝🏻☝🏻☝🏻,sekolah macam apa yang sampai hari ini belum share pembagian jadwal tka sekolah gue
"bentar ya cowo kpopku, tungguin aku kelar tka aku bakal hype kalian lagi 😭",bentar ya cowok kpopku tungguin aku kelar tka aku bakal hype kalian lagi
"Ya Allah h-2 tka malah flu, gegara seminggu kemarin kehujanan+pulang malem😩 kira² di lab nanti boleh bawa tisu gak ya :((",ya allah h tka malah flu gegara seminggu kemarin kehujananpulang malam kira di lab nanti boleh bawa tisu tidak ya
"paling keinget di beberapa sesi keluar soal yang solvingnya harus pake modulo, while 80% sekolahan ga ngajarin materi modulo. aku sendiri dapet materi mod dari olim infor, why do why tiba tiba keluar di tka mtk. emang ga sesusah itu tapi kalo ga tau basicnya ya ga bisa ngerjain",paling teringat di beberapa sesi keluar soal yang solvingnya harus pakai modulo while sekolahan tidak mengajari materi modulo aku sendiri dapat materi mod dari olim infor kenapa di kenapa tiba tiba keluar di tka matematika memang tidak sesusah itu tapi kalau tidak tau basicnya ya tidak bisa ngerjain
"hm starter pack pas tka apaan ya kata nyokap bawa diri ae kl buku atau catetan kecil nnti dikira nyontek, serba salah",hm starter pack pas tka apaan ya kata nyokap bawa diri aja kalau buku atau catetan kecil nanti dikira nyontek serba salah
"@arsorionn @maroshiv Yash, karena di TKA soal soalnya tergolong sulit dipahami, tidak familiar bahkan guru² di sekolah tertentu tidak mengajarkan, kualitas guru Indonesia juga harus dibetulkan bukan hanya siswanya saja yang disalahkan, mereka kadang ngajar materi SMA kaya TK",yash karena di tka soal soalnya tergolong sulit dipahami tidak familiar bahkan guru di sekolah tertentu tidak mengajarkan kualitas guru indonesia juga harus dibetulkan bukan hanya siswanya saja yang disalahkan mereka kadang mengajar materi sama kaya tak
"agak kecewa sama hasil tka😣
kita balas di snbt🤓",agak kecewa sama hasil tka kita balas di snbt
udah h-3 tka masih belum ngerti kimia banget,sudah h tka masih belum mengerti kimia banget
"ga minta banyak tahun depan
1. iPhone 15 warna pink
2. masuk SMA yang dipengin
3. dapet nilai tka bagus-bagus
4. rumah makin bagus
5. JADII KAYAAAA DI TAHUN 2026",tidak meminta banyak tahun depan iphone warna pink masuk sama yang dipengin dapat nilai tka bagus bagus rumah makin bagus jadi kaya di tahun
kalian belajar tka mtk di ch yt mana gais??,kalian belajar tka matematika di ch yt mana guys
"guys masa guru gue bilang buat yang gelombang 1 TKA jgn pelit pelit sama gelombang 2, intinya tuh kita disuruh bocorin soalnya, dan beliau jg bilang buat bawa contekan kecil trus disuruh buat nyelipin buat dibawa masuk😧😧",guys masa guru gue bilang buat yang gelombang tka jangan pelit pelit sama gelombang intinya tuh kita disuruh bocorin soalnya dan beliau juga bilang buat bawa contekan kecil terus disuruh buat nyelipin buat dibawa masuk
"wah hari ini eps 3 tayang, itu tandanya ajalku sdh di depan mata (bertemu tka) 🤗♥️",wah hari ini episode tayang itu tandanya ajalku sudah di depan mata bertemu tka
TKA beberapa hari lagi dan aku blom ngerti sm mtk,tka beberapa hari lagi dan aku belum mengerti sama matematika
tka tka tka tka tka tka hadehh,tka tka tka tka tka tka hadehh
what if gua kabur hari pertama tka,apa if gua kabur hari pertama tka
mikirin tka bkn nangis mikirin soal nangis mikirin gmn gw nnti kuliah dewasa kerja nikah 😭😭😭😭😭💔💔💔,memikirkan tka bukan menangis memikirkan soal menangis memikirkan bagaimana gue nanti kuliah dewasa kerja nikah
"Wait aku gatau temen2ku dan aku sendiri yang memang basic inggrisnya bagus entah kenapa TKA engnya jelek, sebetulnya ini questionable things sih kenapa hasilnya bisa begitu",tunggu aku tidak tau temenku dan aku sendiri yang memang basic inggrisnya bagus entah kenapa tka inggrisnya jelek sebetulnya ini questionable things sih kenapa hasilnya bisa begitu
"sampai sekarang ak masih bingung jurusan ak...dan untuk tka dari sekolah gabisa linjur, so ada saran ga buat mapel peminatan mtk l, fisika, b. Jepang. SEBENARNYA GAMAU BGT FISIKA tapi kalau ngambil teknik.....",sampai sekarang aku masih bingung jurusan akdan untuk tka dari sekolah tidak bisa lintas jurusan sok ada saran tidak buat mata pelajaran peminatan matematika l fisika b jepang sebenarnya tidak mau banget fisika tapi kalau ngambil teknik
"ah elah sibuk tka, tpi gpp aku sempetin buat main",ah elah sibuk tka tapi tidak apa-apa aku sempetin buat main
"kegiatan yang pengen dilakuin abis TKA :
1. main roblox dr pagi sampe malem",kegiatan yang pengin dilakuin habis tka main roblox dari pagi sampai malam
"@Aidachoirunnisa @maroshiv Bhs inggris TKA itu tergolong susah karena setiap anak mendapatkan soal berbeda ada yg dari 25 soal, 13 soalnya multichoice salah 1 tidak ada skornya.",bahasa inggris tka itu tergolong susah karena setiap anak mendapatkan soal berbeda ada yang dari soal soalnya multichoice salah tidak ada skornya
"gusy jumlah soal tka tuh udah di kasi tau blm si? dan untuk skor tka bsk, kira² orang lain bisa lihat skor kita ga? 😔😔😔",guys jumlah soal tka tuh sudah di kasih tau belum sih dan untuk skor tka besok kira orang lain bisa lihat skor kita tidak
"selamat pagi semuanya, gua mau soft spoken hari ini bcs h-2 TKA (sedang memperbaiki kondisi psikis)",selamat pagi semuanya gua mau soft spoken hari ini karena h tka sedang memperbaiki kondisi psikis
eh yaallah thread jalur langit tka itu kemana guys,eh yaallah thread jalur langit tka itu kemana guys
"tka tka tka, a nya astaghfirullah, k nya kuatkan kami yaallah, t nya apa guys 😮‍💨",tka tka tka a nya astaghfirullah ke nya kuatkan kami yaallah t nya apa guys
Mau nanya dong untuk kakak² sch! cantik &amp; ganteng. Materi utbk itu susah gak? Dan apakah ada saran baiknya lebih fokus ke tka atau utbk untuk anak kelas 12?,mau bertanya dong untuk kakak cantik   ganteng materi utbk itu susah tidak dan apakah ada saran baiknya lebih fokus ke tka atau utbk untuk anak kelas
TKA lu bener bener menyusahkan semua org ya puki🥰🙏🏻🙏🏻,tka kamu benar benar menyusahkan semua orang ya puki
SIAPASIH TKA TKA IT….. IHATETKA!!!,siapasih tka tka itu ihatetka
eh kok gw aga nyesel beli buku un/us kmrn kenapa ga beli yg tka lgsg yaa???? isinya sama gasi guiiisss pwiss dua enam pipol wajib rep,eh kok gue aga menyesal beli buku unus kemarin kenapa tidak beli yang tka langsung ya isinya sama gasi guis pwiss dua enam pipol wajib komen
tka 2026 ni konsepnya gimana si guys? yg akt 26 rep dong mw tau wkwkwkw,tka nih konsepnya bagaimana sih guys yang angkatan komen dong mau tau wkwkwkw
wow jumat ada to tka di sekolah,wow jumat ada try out tka di sekolah
SNBT tahun 2026 tuh nanti ada TKA kayak tahun 2022 atau TPS semua kayak tahun ini?,snbt tahun tuh nanti ada tka kayak tahun atau tps semua kayak tahun ini
bisa ga ya TKA ini susulan aja tapi taun pas bulan februari aja muak tau ga sih,bisa tidak ya tka ini susulan saja tapi tahun pas bulan februari saja muak tau tidak sih
"ptn! Untuk yang pernah ikut utbkplus unair/mandiri reguler unair, ada kah yang bersedia aku dm, mau tanya-tanya soal TKA dan penilaiannya (uner dikit bgt infonya...)",untuk yang pernah ikut utbkplus unairmandiri reguler unair ada kah yang bersedia aku dm mau tanyatanya soal tka dan penilaiannya uner dikit banget infonya
"MENDING RUANG GURU ATAU PAHAMIFY???? ATAU APA.....
(include tka, snbt, materi kls 10-12)",mending ruang guru atau pahamify atau apa include tka snbt materi kelas
akt 26 itu jadinya SMA apa TKA?,angkatan itu jadinya sama apa tka
"Ptn! Guys, skor utbk aku 621. Mau ikut utul ugm pil 1 fk, pil 2 bio. Kira kira bundir ga ya? Sama TKA buat bio mapel apa aja?",guys skor utbk aku mau ikut utul ugm pil fk pil bio kira kira bundir tidak ya sama tka buat bio mata pelajaran apa saja
“selsai kalian uas nanti langsung to tka” ingin bernafas,selsai kalian uas nanti langsung try out tka ingin bernafas
"teman-teman mau nanya, beli buku tka itu nanti sesuai prodi yang kita pilih kan? misal aku ambil hukum, berarti versi IPS kan yang aku belii",temanteman mau bertanya beli buku tka itu nanti sesuai prodi yang kita pilih kan misal aku ambil hukum berarti versi ips kan yang aku belii
