full_text,normalized,label_num_all,pseudo_label_all,confidence_score,label_num,pseudo_label
YA ALLAH CAPEKBGTT BELAJAR TKA,ya allah capek banget belajar tka,2,negative,0.9979965090751648,2,negative
"hiii tmntmn ada yang punya server discord buat discuss, belajar utbk tka gitu nggak yaaa? kalau ada yang punya bagiii yaaa, terima kasiiih",hi teman teman ada yang punya server discord buat diskusi belajar utbk tka begitu tidak ya kalau ada yang punya bagi ya terima kasih,1,neutral,0.98467618227005,1,neutral
"pusing bgt, kalian bljr TKA nya langsung latsol, apa dari materi kelas 10-11? AKU BINGGUNG BGT",pusing banget kalian belajar tka nya langsung latihan soal apa dari materi kelas aku binggung banget,2,negative,0.9976135492324829,2,negative
Sekolah macam apa yg sampe hari ini belum share pembagian jadwal tka? Gajelas bgt sekolah gue ☝🏻☝🏻☝🏻,sekolah macam apa yang sampai hari ini belum share pembagian jadwal tka tidak jelas banget sekolah gue,2,negative,0.9957588315010071,2,negative
"bentar ya cowo kpopku, tungguin aku kelar tka aku bakal hype kalian lagi 😭",bentar ya cowok kpopku tungguin aku kelar tka aku bakal hype kalian lagi,1,neutral,0.740236759185791,1,neutral
"paling keinget di beberapa sesi keluar soal yang solvingnya harus pake modulo, while 80% sekolahan ga ngajarin materi modulo. aku sendiri dapet materi mod dari olim infor, why do why tiba tiba keluar di tka mtk. emang ga sesusah itu tapi kalo ga tau basicnya ya ga bisa ngerjain",paling teringat di beberapa sesi keluar soal yang solvingnya harus pakai modulo while sekolahan tidak mengajari materi modulo aku sendiri dapat materi mod dari olim infor kenapa di kenapa tiba tiba keluar di tka matematika memang tidak sesusah itu tapi kalau tidak tau basicnya ya tidak bisa ngerjain,2,negative,0.962013304233551,2,negative
"@arsorionn @maroshiv Yash, karena di TKA soal soalnya tergolong sulit dipahami, tidak familiar bahkan guru² di sekolah tertentu tidak mengajarkan, kualitas guru Indonesia juga harus dibetulkan bukan hanya siswanya saja yang disalahkan, mereka kadang ngajar materi SMA kaya TK",yash karena di tka soal soalnya tergolong sulit dipahami tidak familiar bahkan guru di sekolah tertentu tidak mengajarkan kualitas guru indonesia juga harus dibetulkan bukan hanya siswanya saja yang disalahkan mereka kadang mengajar materi sama kaya tak,2,negative,0.9945936799049377,2,negative
"agak kecewa sama hasil tka😣
kita balas di snbt🤓",agak kecewa sama hasil tka kita balas di snbt,2,negative,0.9973746538162231,2,negative
udah h-3 tka masih belum ngerti kimia banget,sudah h tka masih belum mengerti kimia banget,2,negative,0.9927138686180115,2,negative
"ga minta banyak tahun depan
1. iPhone 15 warna pink
2. masuk SMA yang dipengin
3. dapet nilai tka bagus-bagus
4. rumah makin bagus
5. JADII KAYAAAA DI TAHUN 2026",tidak meminta banyak tahun depan iphone warna pink masuk sama yang dipengin dapat nilai tka bagus bagus rumah makin bagus jadi kaya di tahun,0,positive,0.8216190934181213,0,positive
kalian belajar tka mtk di ch yt mana gais??,kalian belajar tka matematika di ch yt mana guys,1,neutral,0.8636868000030518,1,neutral
"guys masa guru gue bilang buat yang gelombang 1 TKA jgn pelit pelit sama gelombang 2, intinya tuh kita disuruh bocorin soalnya, dan beliau jg bilang buat bawa contekan kecil trus disuruh buat nyelipin buat dibawa masuk😧😧",guys masa guru gue bilang buat yang gelombang tka jangan pelit pelit sama gelombang intinya tuh kita disuruh bocorin soalnya dan beliau juga bilang buat bawa contekan kecil terus disuruh buat nyelipin buat dibawa masuk,2,negative,0.9066779613494873,2,negative
"wah hari ini eps 3 tayang, itu tandanya ajalku sdh di depan mata (bertemu tka) 🤗♥️",wah hari ini episode tayang itu tandanya ajalku sudah di depan mata bertemu tka,1,neutral,0.7981882691383362,1,neutral
TKA beberapa hari lagi dan aku blom ngerti sm mtk,tka beberapa hari lagi dan aku belum mengerti sama matematika,2,negative,0.9656292796134949,2,negative
tka tka tka tka tka tka hadehh,tka tka tka tka tka tka hadehh,2,negative,0.943284809589386,2,negative
what if gua kabur hari pertama tka,apa if gua kabur hari pertama tka,2,negative,0.9901078939437866,2,negative
mikirin tka bkn nangis mikirin soal nangis mikirin gmn gw nnti kuliah dewasa kerja nikah 😭😭😭😭😭💔💔💔,memikirkan tka bukan menangis memikirkan soal menangis memikirkan bagaimana gue nanti kuliah dewasa kerja nikah,2,negative,0.9828041791915894,2,negative
"Wait aku gatau temen2ku dan aku sendiri yang memang basic inggrisnya bagus entah kenapa TKA engnya jelek, sebetulnya ini questionable things sih kenapa hasilnya bisa begitu",tunggu aku tidak tau temenku dan aku sendiri yang memang basic inggrisnya bagus entah kenapa tka inggrisnya jelek sebetulnya ini questionable things sih kenapa hasilnya bisa begitu,2,negative,0.9725936055183411,2,negative
"sampai sekarang ak masih bingung jurusan ak...dan untuk tka dari sekolah gabisa linjur, so ada saran ga buat mapel peminatan mtk l, fisika, b. Jepang. SEBENARNYA GAMAU BGT FISIKA tapi kalau ngambil teknik.....",sampai sekarang aku masih bingung jurusan akdan untuk tka dari sekolah tidak bisa lintas jurusan sok ada saran tidak buat mata pelajaran peminatan matematika l fisika b jepang sebenarnya tidak mau banget fisika tapi kalau ngambil teknik,2,negative,0.9659087061882019,2,negative
"ah elah sibuk tka, tpi gpp aku sempetin buat main",ah elah sibuk tka tapi tidak apa-apa aku sempetin buat main,2,negative,0.8059916496276855,2,negative
"@Aidachoirunnisa @maroshiv Bhs inggris TKA itu tergolong susah karena setiap anak mendapatkan soal berbeda ada yg dari 25 soal, 13 soalnya multichoice salah 1 tidak ada skornya.",bahasa inggris tka itu tergolong susah karena setiap anak mendapatkan soal berbeda ada yang dari soal soalnya multichoice salah tidak ada skornya,2,negative,0.8989012241363525,2,negative
