full_text,normalized,label_num,pseudo_label,confidence_score
gess ada gak sih list channel YouTube buat belajar TKA?,gess ada tidak sih list channel youtube buat belajar tka,1,neutral,0.995353937
"kenapa ga akt 27 aja sih yg di jadiin percobaan TKA? serius dah, lu bikin akt 26 yang udah 2th SMA tuh jadi rasanya ada ke sia sia an",kenapa tidak angkatan saja sih yang di jadikan percobaan tka serius sudah kamu bikin angkatan yang sudah tahu sama tuh jadi rasanya ada ke sia sia an,2,negative,0.991626024
"Dilemanya guru. Kalo nilai ga didongkrak jeblok, kalo didongkrak ngejar TKA nya susah

Percayalah anak anak, nilai dongkrakan itu real. Kalo nilai murni, banyak banget yg dibawah KKM",dilemanya guru kalau nilai tidak didongkrak jeblok kalau didongkrak ngejar tka nya susah percayalah anak anak nilai dongkrakan itu real kalau nilai murni banyak banget yang dibawah kkm,2,negative,0.996579111
"Yg lagi nyari info TKA, siap-siap ya kelas 12",yang lagi mencari info tka siapsiap ya kelas,1,neutral,0.99436754
hari ini selesai tka tapi mulai pulang sekolah tadi badan lemes panas pusing 🫠,hari ini selesai tka tapi mulai pulang sekolah tadi badan lemes panas pusing,2,negative,0.99769336
kayanya masih lebih make sense csat mathnya 30 soal 100 menit dibandingkan tka kemarin 25 soal 50 menit dengan soal analisis semua...?,kayanya masih lebih memakai sense csat mathnya soal menit dibandingkan tka kemarin soal menit dengan soal analisis semua,2,negative,0.676167309
"pagii guys hari ini aku simulasi tka di sekolah, minta doanya semoga lancar dan hasilnyaa memuaskan dari awal sampai hari h 🫰🏻  buat moots aku yg agit juga semangat yaaa 😼",pagii guys hari ini aku simulasi tka di sekolah meminta doanya semoga lancar dan hasilnyaa memuaskan dari awal sampai hari h buat moots aku yang kelas tiga juga semangat ya,0,positive,0.856089532
Kemaleman kayaknya deh (((^_^;) but yang masih on tawarin dong rs dahilia atau yang open req juga mawuu,kemaleman kayaknya deh but yang masih on tawarin dong rs dahilia atau yang open req juga mawuu,1,neutral,0.693362296
"haloo temen2 and kaka2 semuaa, ada saran ga buat kita angkt 26 yang super duper bingung skrg, mending gass all-in utbk or masih 50 50 utk persiapan tka yaa? 🥺 jujur sgt amat bingung utk memulai",haloo teman and kakak semuaa ada saran tidak buat kita angkt yang super duper bingung sekarang mending gass allin utbk atau masih untuk persiapan tka ya jujur sangat amat bingung untuk memulai,2,negative,0.970686555
"aku beli pas birthday aku kali yaa? or after gitu, siapa tau harganya agak turunan🤤",aku beli pas birthday aku kali ya atau after begitu siapa tau harganya agak turunan,1,neutral,0.585518897
mau ditaro di mana mukaku klo nilai tka kayak nilai sahroni,mau ditaro di mana mukaku kalau nilai tka kayak nilai sahroni,2,negative,0.991200864
hari ini aku tka dan malah ga tidur,hari ini aku tka dan malah tidak tidur,2,negative,0.984648108
